instance,winner,improvement,weight_mean,weight_std,weight_ratio,proc_time_mean,proc_time_std,wspt_ratio_std,gini_coefficient,l2d_score,wspt_score,machine_load_std,machine_load_ratio,bottleneck_operations
54,WSPT,-20.700573916485258,5.333333333333333,2.4267032964268394,4.0,46.416666666666664,29.307161620024246,0.031015397847800486,0.25,12198.0,10106.0,43.27720724199595,1.7333333333333334,6
55,WSPT,-51.90805952556358,3.1666666666666665,1.9507833184532706,6.0,50.111111111111114,30.22763431933121,0.009320866927261,0.3421052631578947,10310.0,6787.0,60.32872910608639,1.7625,6
56,L2D,4.806755440077947,7.166666666666667,0.6871842709362768,1.3333333333333333,48.80555555555556,30.63387689438356,0.004373732894354346,0.050387596899224896,17586.0,18474.0,43.356724456023606,1.634703196347032,6
57,WSPT,-9.369282619162252,7.0,1.8257418583505538,2.25,55.22222222222222,28.944497760667463,0.005328438395587752,0.1428571428571428,22716.0,20770.0,75.31858262665921,1.9874476987447698,6
58,WSPT,-16.877708846774876,5.0,3.1091263510296048,9.0,56.083333333333336,24.69972446989822,0.013269043054827899,0.34444444444444444,13753.0,11767.0,47.67511580129268,1.5017921146953406,6
59,WSPT,-43.36990221798235,3.6666666666666665,2.560381915956203,9.0,55.47222222222222,32.16320025459662,0.009942944390496162,0.3484848484848485,12023.0,8386.0,58.58445944863611,1.5793357933579335,6
60,WSPT,-36.24454148471616,4.0,1.2909944487358056,3.0,44.333333333333336,29.624501871105124,0.0040255267940130434,0.18055555555555547,13104.0,9618.0,68.80164726710159,2.25,6
61,WSPT,-47.82512939103623,4.333333333333333,2.808716591058786,8.0,47.0,29.203310314642984,0.012429869931044814,0.3589743589743589,13424.0,9081.0,106.26382263028185,3.7570093457943927,6
62,WSPT,-27.556699596493665,5.833333333333333,3.2360813064912666,9.0,51.52777777777778,25.743916337555593,0.010857115950064411,0.29999999999999993,18335.0,14374.0,55.29441402368075,1.692,6
63,WSPT,-2.085930358181667,5.0,2.160246899469287,4.0,47.916666666666664,29.438613154230694,0.00843949547792255,0.24444444444444446,12284.0,12033.0,55.880079933133004,1.7826086956521738,6
64,WSPT,-0.8984105044920525,5.333333333333333,2.5603819159562025,4.5,48.611111111111114,28.769464693758767,0.01011215645655991,0.27083333333333337,13140.0,13023.0,55.026256359022724,1.791044776119403,6
65,WSPT,-37.180963346766454,4.166666666666667,2.9107081994288304,8.0,53.5,28.41116760086506,0.011429223805843245,0.38,14297.0,10422.0,85.52387580864968,2.5857988165680474,6
66,WSPT,-11.863184876642102,4.833333333333333,2.793842435706702,4.5,53.833333333333336,29.828677476549306,0.015448861095670383,0.3160919540229884,13965.0,12484.0,55.20265694088767,1.6340425531914893,6
67,WSPT,-17.218122669205744,4.833333333333333,1.5723301886761007,3.5,51.388888888888886,27.189946853139364,0.004974097731462602,0.17816091954022983,14773.0,12603.0,43.53032148846237,1.4846153846153847,6
68,WSPT,-30.778414517669532,3.8333333333333335,2.266911751455907,8.0,46.138888888888886,31.848733428311625,0.005666755343665329,0.32608695652173914,10954.0,8376.0,40.22609711230868,1.6455026455026456,6
69,WSPT,-2.6184825051680574,6.0,2.309401076758503,8.0,46.361111111111114,25.119882317684553,0.012081052928881206,0.17592592592592593,13403.0,13061.0,84.0107466670518,2.765957446808511,6
70,L2D,0.7540056550424128,6.666666666666667,1.9720265943665387,2.25,53.111111111111114,27.667447557029682,0.008055518955234313,0.15833333333333333,17901.0,18037.0,97.12992444258475,2.378238341968912,6
71,WSPT,-11.155301193132216,4.5,2.753785273643051,8.0,44.77777777777778,22.169938494265296,0.009547909841072916,0.3395061728395061,11459.0,10309.0,37.42399705477163,1.5327102803738317,6
72,WSPT,-19.314394540549117,5.666666666666667,2.4267032964268394,3.0,46.80555555555556,31.15179631386041,0.013116040764077816,0.23529411764705888,15036.0,12602.0,53.53010575575414,1.824742268041237,6
73,WSPT,-32.487857528332434,3.5,2.753785273643051,9.0,54.166666666666664,31.111359125995552,0.013519813035560786,0.40476190476190477,9820.0,7412.0,63.474404290233394,1.8744588744588744,6
74,WSPT,-43.724137931034484,3.6666666666666665,2.560381915956203,8.0,54.52777777777778,28.512654219088127,0.010595412541512209,0.3787878787878788,11462.0,7975.0,31.603885133881178,1.3414634146341464,6
75,WSPT,-6.535947712418301,7.166666666666667,1.950783318453271,2.25,57.05555555555556,25.64386914432684,0.007033855303549197,0.14341085271317822,19886.0,18666.0,24.170689320377733,1.202572347266881,6
76,WSPT,-6.263796909492274,6.5,0.9574271077563381,1.6,56.083333333333336,28.61756938976086,0.0070965694801587475,0.08119658119658124,19255.0,18120.0,58.83522187714884,1.6374045801526718,6
77,WSPT,-5.332440874609549,5.5,1.707825127659933,2.6666666666666665,44.916666666666664,23.692913849222233,0.0038457594921567314,0.1767676767676768,14163.0,13446.0,63.20535314881696,1.967914438502674,6
78,WSPT,-5.889838211234321,6.333333333333333,2.560381915956203,4.5,43.69444444444444,31.90421379731354,0.010358215081940389,0.2192982456140351,17475.0,16503.0,87.91552131955362,2.4864864864864864,6
79,WSPT,-17.32904938185374,5.333333333333333,3.1972210155418126,9.0,55.888888888888886,28.374262376881248,0.009235192476198835,0.32291666666666663,16798.0,14317.0,64.27977044832137,1.6538461538461537,6
80,WSPT,-15.84006408116948,5.833333333333333,2.266911751455907,4.5,52.833333333333336,26.550266790875504,0.009376892218983898,0.2142857142857143,17354.0,14981.0,62.44197306299666,1.8169014084507042,6
81,WSPT,-21.160544648511717,5.333333333333333,2.6246692913372702,9.0,55.083333333333336,27.826221646337668,0.010574710430451174,0.27083333333333337,15305.0,12632.0,33.17001658124397,1.2791519434628975,6
82,WSPT,-25.921032177833048,5.666666666666667,2.4267032964268394,4.5,49.44444444444444,28.25719617730091,0.008379731012455663,0.23529411764705888,16201.0,12866.0,63.165567272754615,1.947867298578199,6
83,WSPT,-16.80029695619896,6.0,2.581988897471611,9.0,49.55555555555556,24.94376391053867,0.009284852664630317,0.2314814814814815,15733.0,13470.0,90.67463200305193,2.3461538461538463,6
84,WSPT,-23.738206769149567,6.833333333333333,1.863389981249825,1.8,41.30555555555556,23.12264335672868,0.014161036071127371,0.14227642276422758,18755.0,15157.0,61.658783279882805,2.111111111111111,6
85,L2D,2.8114754098360657,5.333333333333333,2.8674417556808756,9.0,46.52777777777778,28.67101334401767,0.012539360987091987,0.29166666666666663,11857.0,12200.0,72.19052723330272,1.9714285714285715,6
86,WSPT,-16.77104439123227,4.833333333333333,2.4776781245530843,4.5,50.666666666666664,29.262224416092803,0.011027888420012831,0.2816091954022989,12679.0,10858.0,33.301651610693426,1.4661016949152543,6
87,WSPT,-20.248309276269303,4.333333333333333,2.6874192494328497,9.0,50.19444444444444,26.25179300166884,0.008740206025856963,0.34615384615384615,11913.0,9907.0,59.81754666390865,1.8944723618090453,6
88,WSPT,-11.52434791232768,3.8333333333333335,1.2133516482134197,2.5,55.138888888888886,30.069505388698822,0.00650336279766065,0.16666666666666663,11245.0,10083.0,46.90208476768975,1.5129151291512914,6
89,WSPT,-3.7298992460132117,5.833333333333333,1.0671873729054746,1.75,53.47222222222222,24.029479708510717,0.00456898945403574,0.09999999999999998,15546.0,14987.0,55.96849312088206,1.7098214285714286,6
90,WSPT,-0.6051080550098232,5.166666666666667,2.266911751455907,4.0,48.166666666666664,31.904806325484362,0.007425374091234927,0.24193548387096764,12802.0,12725.0,59.71041226899487,1.7272727272727273,6
91,WSPT,-28.785228377065113,5.166666666666667,2.4094720491334933,4.5,46.388888888888886,24.92909698611664,0.011327411071539988,0.26344086021505364,13252.0,10290.0,62.65159393201599,1.7762557077625571,6
92,WSPT,-12.28417775261817,4.333333333333333,2.494438257849294,4.0,44.19444444444444,26.186106838513137,0.008421227201404301,0.3076923076923076,11901.0,10599.0,81.004972412535,2.2621951219512195,6
93,WSPT,-35.147118097541316,5.166666666666667,2.266911751455907,4.5,51.52777777777778,30.484500716767812,0.009200054557717201,0.24193548387096764,16765.0,12405.0,57.05674563294179,1.7570093457943925,6
94,WSPT,-7.9814990512333965,5.833333333333333,2.9107081994288304,4.5,58.94444444444444,29.519244612102387,0.008109592906612038,0.27142857142857135,18210.0,16864.0,31.678944988044595,1.2959501557632398,6
95,WSPT,-21.118103322113274,5.5,3.2015621187164243,4.5,54.138888888888886,22.23504838184999,0.01099136408399326,0.30808080808080807,16552.0,13666.0,46.17508948436255,1.5405405405405406,6
96,WSPT,-3.9345145860001347,5.666666666666667,2.0548046676563256,2.25,47.47222222222222,30.589110363649123,0.010839795738326776,0.18627450980392146,15427.0,14843.0,54.733952493452875,1.7980769230769231,6
97,WSPT,-23.850160005019767,5.333333333333333,2.4267032964268394,9.0,54.69444444444444,28.827860217008094,0.007530960468206469,0.23958333333333337,19738.0,15937.0,79.98628354634033,2.564935064935065,6
98,L2D,10.306215722120658,5.833333333333333,1.863389981249825,4.0,51.611111111111114,30.085321058780085,0.0085558033694774,0.15714285714285714,15700.0,17504.0,77.36421797072741,2.0257731958762886,6
99,L2D,5.676890958728119,5.166666666666667,1.950783318453271,3.5,43.80555555555556,27.851610211225214,0.007787377032627545,0.19892473118279563,11747.0,12454.0,77.42182437070886,2.8702290076335877,6
